path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00879.ARW,DSC00879.ARW,arw,true,true,2026:07:19 13:56:32,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,60.7,80.6,42.6,60.0,51.3,60.5,0,0,,,
archive\DSC00879.JPG,DSC00879.JPG,jpg,false,true,2026:07:19 13:56:32,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,60.7,80.6,42.6,60.0,51.3,60.5,0,0,,,
archive\DSC00880.ARW,DSC00880.ARW,arw,true,true,2026:07:19 13:56:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,57.8,77.8,33.0,60.0,55.7,58.1,0,0,,,
archive\DSC00880.JPG,DSC00880.JPG,jpg,false,true,2026:07:19 13:56:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,57.8,77.8,33.0,60.0,55.7,58.1,0,0,,,
archive\DSC00881.ARW,DSC00881.ARW,arw,true,true,2026:07:19 13:56:47,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,55.2,82.8,46.4,60.0,50.4,59.4,0,0,,,
archive\DSC00881.JPG,DSC00881.JPG,jpg,false,true,2026:07:19 13:56:47,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,200,4.5,1/125,70,55.2,82.8,46.4,60.0,50.4,59.4,0,0,,,
archive\DSC00882.ARW,DSC00882.ARW,arw,true,true,2026:07:19 14:00:29,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,33,30.9,98.9,19.0,60.0,45.8,49.3,0,4,2,2,true
archive\DSC00882.JPG,DSC00882.JPG,jpg,false,true,2026:07:19 14:00:29,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,33,30.9,98.9,19.0,60.0,45.8,49.3,0,4,2,2,true
archive\DSC00883.ARW,DSC00883.ARW,arw,true,true,2026:07:19 14:00:31,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,34,29.8,99.2,20.6,60.0,53.4,50.4,0,4,2,1,true
archive\DSC00883.JPG,DSC00883.JPG,jpg,false,true,2026:07:19 14:00:31,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,100,4.5,1/125,34,29.8,99.2,20.6,60.0,53.4,50.4,0,4,2,1,true
